,Trip_Duration,Trip,Start_Coords,End_Coords,Median_Duration_Mins,Median_Unix_StartTime,Size,Public_Duration
1913,24.28333333333333,"41.911722,-87.626804|41.88504199,-87.61279454","41.911722,-87.626804","41.88504199,-87.61279454",22.05,1495894620,53,
425,12.983333333333333,"41.892278000000005,-87.612043|41.886024,-87.624117","41.892278000000005,-87.612043","41.886024,-87.624117",26.766666666666666,1494781080,53,
979,13.166666666666664,"41.865312,-87.617867|41.87785,-87.62408","41.865312,-87.617867","41.87785,-87.62408",17.066666666666666,1495889400,53,
151,3.283333333333333,"41.795212,-87.580715|41.795212,-87.580715","41.795212,-87.580715","41.795212,-87.580715",44.56666666666666,1495372830,52,
1600,408.66666666666674,"41.92675599,-87.63442879|41.92675599,-87.63442879","41.92675599,-87.63442879","41.92675599,-87.63442879",38.61666666666667,1495367370,52,
100,11.7,"41.865312,-87.617867|41.86722596,-87.61535539","41.865312,-87.617867","41.86722596,-87.61535539",15.675,1495632360,52,
636,11.616666666666667,"41.8810317,-87.62408432|41.872638,-87.623979","41.8810317,-87.62408432","41.872638,-87.623979",21.691666666666666,1495749780,52,
958,26.45,"41.891020000000005,-87.6173|41.8810317,-87.62408432","41.891020000000005,-87.6173","41.8810317,-87.62408432",23.833333333333336,1495892880,52,
174,9.516666666666667,"41.867888,-87.623041|41.87785,-87.62408","41.867888,-87.623041","41.87785,-87.62408",20.233333333333334,1495720800,51,
182,17.766666666666666,"41.8810317,-87.62408432|41.867888,-87.623041","41.8810317,-87.62408432","41.867888,-87.623041",19.766666666666666,1494960240,51,
36,12.966666666666667,"41.886875,-87.62603|41.892278000000005,-87.612043","41.886875,-87.62603","41.892278000000005,-87.612043",24.266666666666666,1495305360,51,
4476,21.03333333333333,"41.89257,-87.614492|41.926277,-87.630834","41.89257,-87.614492","41.926277,-87.630834",26.63333333333333,1495377840,51,
521,17.516666666666666,"41.892278000000005,-87.612043|41.890011,-87.626293","41.892278000000005,-87.612043","41.890011,-87.626293",18.216666666666665,1494774900,51,
