,TO STATION NAME,Trip_Duration,Trip,Start_Coords,End_Coords,Median_Duration_Mins,Median_Unix_StartTime,Median_Age,Size,Public_Duration
9686,Clinton St & Madison St,8.416666666666666,"41.897764,-87.642884|41.882242,-87.64106600000001","41.897764,-87.642884","41.882242,-87.64106600000001",9.733333333333333,1494954300,30.0,53,
10261,McClurg Ct & Illinois St,5.866666666666666,"41.890755,-87.632009|41.891020000000005,-87.6173","41.890755,-87.632009","41.891020000000005,-87.6173",6.166666666666668,1495097520,30.5,53,
12078,Michigan Ave & Oak St,9.433333333333334,"41.892278000000005,-87.612043|41.90096039,-87.62377664","41.892278000000005,-87.612043","41.90096039,-87.62377664",10.616666666666667,1495470360,45.0,53,
201,Orleans St & Merchandise Mart Plaza,5.133333333333334,"41.879255,-87.639904|41.888243,-87.63639","41.879255,-87.639904","41.888243,-87.63639",6.85,1494570300,49.0,53,
3630,Dearborn St & Erie St,5.566666666666666,"41.884240999999996,-87.629634|41.893992,-87.62931800000001","41.884240999999996,-87.629634","41.893992,-87.62931800000001",6.2666666666666675,1494958080,40.0,53,
2053,Broadway & Sheridan Rd,3.7,"41.954245,-87.65440600000001|41.952833,-87.64999300000001","41.954245,-87.65440600000001","41.952833,-87.64999300000001",2.433333333333333,1494872760,64.0,53,
3082,Canal St & Adams St,14.366666666666667,"41.891020000000005,-87.6173|41.879255,-87.639904","41.891020000000005,-87.6173","41.879255,-87.639904",13.8,1494868440,34.0,53,
1109,Lake Park Ave & 56th St,4.0,"41.795212,-87.580715|41.793242,-87.58778199999999","41.795212,-87.580715","41.793242,-87.58778199999999",4.533333333333333,1494838920,34.0,53,
943,Ellis Ave & 58th St,8.666666666666666,"41.799568,-87.594747|41.788746,-87.601334","41.799568,-87.594747","41.788746,-87.601334",7.783333333333332,1494579480,45.0,53,
384,Wabash Ave & Roosevelt Rd,6.0166666666666675,"41.86711778,-87.64108796|41.867227,-87.625961","41.86711778,-87.64108796","41.867227,-87.625961",6.683333333333334,1494958500,41.0,53,
4037,Shore Dr & 55th St,4.366666666666666,"41.793242,-87.58778199999999|41.795212,-87.580715","41.793242,-87.58778199999999","41.795212,-87.580715",4.9,1494862500,61.0,53,
2541,LaSalle St & Jackson Blvd,23.48333333333333,"41.888243,-87.63639|41.878170000000004,-87.631985","41.888243,-87.63639","41.878170000000004,-87.631985",6.95,1494934620,35.0,53,
3949,Theater on the Lake,21.78333333333333,"41.884728,-87.61952099999999|41.926277,-87.630834","41.884728,-87.61952099999999","41.926277,-87.630834",22.66666666666667,1494864300,33.0,53,
2319,Kingsbury St & Erie St,4.233333333333333,"41.888243,-87.63639|41.893882,-87.641711","41.888243,-87.63639","41.893882,-87.641711",3.608333333333333,1494915750,35.0,52,
2799,Ellis Ave & 58th St,2.35,"41.78509715,-87.60107276|41.788746,-87.601334","41.78509715,-87.60107276","41.788746,-87.601334",2.2,1495061520,33.0,52,
13826,Montrose Harbor,25.6,"41.963982,-87.638181|41.963982,-87.638181","41.963982,-87.638181","41.963982,-87.638181",17.53333333333333,1495807920,47.0,52,
602,Aberdeen St & Monroe St,5.533333333333332,"41.880421999999996,-87.642746|41.88042,-87.655599","41.880421999999996,-87.642746","41.88042,-87.655599",5.591666666666668,1494521850,25.0,52,
703,Leavitt St & North Ave,9.1,"41.916017,-87.668879|41.910153,-87.68229000000001","41.916017,-87.668879","41.910153,-87.68229000000001",8.2,1494897540,37.0,52,
103,Canal St & Adams St,4.316666666666666,"41.883004,-87.65114799999999|41.879255,-87.639904","41.883004,-87.65114799999999","41.879255,-87.639904",6.316666666666666,1494991740,39.0,52,
270,Marion St & South Blvd,4.05,"41.879837,-87.80224|41.88681,-87.80287","41.879837,-87.80224","41.88681,-87.80287",3.8666666666666663,1494581280,47.0,52,
3001,Desplaines St & Kinzie St,6.0,"41.882090999999996,-87.639833|41.88871604,-87.64444785","41.882090999999996,-87.639833","41.88871604,-87.64444785",5.05,1494955560,27.0,52,
884,Clark St & Congress Pkwy,7.05,"41.882242,-87.64106600000001|41.87593267,-87.63058454","41.882242,-87.64106600000001","41.87593267,-87.63058454",7.675000000000002,1495024440,37.5,52,
263,Clinton St & Washington Blvd,8.45,"41.897764,-87.642884|41.883379999999995,-87.64116999999999","41.897764,-87.642884","41.883379999999995,-87.64116999999999",8.383333333333333,1495018890,39.0,52,
3265,State St & Van Buren St,8.366666666666667,"41.882242,-87.64106600000001|41.877181,-87.627844","41.882242,-87.64106600000001","41.877181,-87.627844",7.541666666666666,1494876690,33.0,52,
2886,Racine Ave & Randolph St,3.283333333333333,"41.88548331,-87.65230486|41.884069000000004,-87.656853","41.88548331,-87.65230486","41.884069000000004,-87.656853",2.583333333333333,1494922800,30.0,51,
2382,University Library (NU),3.5,"42.058239,-87.677432|42.052939,-87.673447","42.058239,-87.677432","42.052939,-87.673447",4.516666666666667,1494755040,57.0,51,
4211,Larrabee St & Menomonee St,2.95,"41.911386,-87.638677|41.91468,-87.64331999999999","41.911386,-87.638677","41.91468,-87.64331999999999",3.25,1495041960,27.5,51,
6193,Clark St & Elm St,6.7,"41.891738000000004,-87.626937|41.902972999999996,-87.63128","41.891738000000004,-87.626937","41.902972999999996,-87.63128",6.966666666666668,1495040880,34.0,51,
256,Cityfront Plaza Dr & Pioneer Ct,11.683333333333335,"41.879255,-87.639904|41.890572999999996,-87.622072","41.879255,-87.639904","41.890572999999996,-87.622072",11.166666666666664,1494916740,33.5,51,
12870,Broadway & Cornelia Ave,7.5,"41.954383,-87.648043|41.945529,-87.646439","41.954383,-87.648043","41.945529,-87.646439",6.033333333333332,1495042680,33.0,51,
3719,Clinton St & Madison St,20.133333333333333,"41.871262,-87.673688|41.882242,-87.64106600000001","41.871262,-87.673688","41.882242,-87.64106600000001",17.55,1494950280,28.0,51,
3507,Canal St & Adams St,11.766666666666667,"41.886875,-87.62603|41.879255,-87.639904","41.886875,-87.62603","41.879255,-87.639904",9.666666666666666,1494870840,29.0,51,
9126,Ada St & Washington Blvd,8.45,"41.882242,-87.64106600000001|41.88283,-87.661206","41.882242,-87.64106600000001","41.88283,-87.661206",8.516666666666667,1495009980,36.0,51,
2223,Columbus Dr & Randolph St,6.783333333333332,"41.882664,-87.63253|41.884728,-87.61952099999999","41.882664,-87.63253","41.884728,-87.61952099999999",7.65,1494933960,53.0,51,
3996,Spaulding Ave & Armitage Ave,6.633333333333334,"41.922695000000004,-87.697153|41.91718375,-87.71035665","41.922695000000004,-87.697153","41.91718375,-87.71035665",7.466666666666668,1494777180,29.0,51,
3085,McClurg Ct & Illinois St,4.983333333333333,"41.884240999999996,-87.629634|41.891020000000005,-87.6173","41.884240999999996,-87.629634","41.891020000000005,-87.6173",6.8,1495038300,29.0,51,
7250,MLK Jr Dr & 29th St,4.65,"41.85137517,-87.61883465|41.842052,-87.617","41.85137517,-87.61883465","41.842052,-87.617",7.0,1495140420,33.0,51,
2205,Streeter Dr & Grand Ave,16.6,"41.90096039,-87.62377664|41.892278000000005,-87.612043","41.90096039,-87.62377664","41.892278000000005,-87.612043",12.55,1495361880,66.0,51,
9395,Lake Shore Dr & Belmont Ave,9.216666666666667,"41.926277,-87.630834|41.940775,-87.63919200000001","41.926277,-87.630834","41.940775,-87.63919200000001",10.766666666666667,1495024500,28.0,51,
2293,Lake Shore Dr & Wellington Ave,16.166666666666668,"41.911722,-87.626804|41.936669,-87.636794","41.911722,-87.626804","41.936669,-87.636794",16.033333333333335,1495309200,39.0,51,
1499,Loomis St & Taylor St (*),2.3833333333333333,"41.8694821,-87.6554864|41.869417,-87.660996","41.8694821,-87.6554864","41.869417,-87.660996",2.466666666666667,1495317000,32.5,51,
3326,Clinton St & Washington Blvd,5.8,"41.8847302,-87.62773357|41.883379999999995,-87.64116999999999","41.8847302,-87.62773357","41.883379999999995,-87.64116999999999",6.116666666666666,1494919680,30.0,51,
