,trip,bike_duration_mins,median_hour,frequency,public_duration_mins,start_coord,end_coord,distance,time_saved
146,"40.715143,-73.944507|40.71534825,-73.96024116",6.82,1531130400,110,10.18,"40.715143,-73.944507","40.71534825,-73.96024116",1744,3.0
147,"40.715143,-73.944507|40.71907891179564,-73.94223690032959",2.9,1531159200,349,8.2,"40.715143,-73.944507","40.71907891179564,-73.94223690032959",647,5.0
148,"40.715143,-73.944507|40.71929301,-73.94500379",2.02,1531159200,169,6.07,"40.715143,-73.944507","40.71929301,-73.94500379",494,4.0
149,"40.715143,-73.944507|40.72325,-73.94308000000002",5.3,1531159200,229,12.97,"40.715143,-73.944507","40.72325,-73.94308000000002",1008,8.0
150,"40.7153379,-74.01658354|40.70463334,-74.01361706",7.29,1531126800,154,16.0,"40.7153379,-74.01658354","40.70463334,-74.01361706",1710,9.0
151,"40.7153379,-74.01658354|40.70569254,-74.01677685",5.68,1531144800,173,15.22,"40.7153379,-74.01658354","40.70569254,-74.01677685",1250,10.0
152,"40.7153379,-74.01658354|40.70834698,-74.01713445",5.25,1531148400,145,4.95,"40.7153379,-74.01658354","40.70834698,-74.01713445",1111,-0.0
153,"40.7153379,-74.01658354|40.71870987,-74.0090009",5.26,1531123200,106,12.5,"40.7153379,-74.01658354","40.71870987,-74.0090009",970,7.0
154,"40.7153379,-74.01658354|40.72019521437465,-74.0103006362915",4.5,1531119600,214,12.75,"40.7153379,-74.01658354","40.72019521437465,-74.0103006362915",979,8.0
155,"40.7153379,-74.01658354|40.728846,-74.00859100000002",8.88,1531148400,125,18.42,"40.7153379,-74.01658354","40.728846,-74.00859100000002",2550,10.0
156,"40.7153379,-74.01658354|40.73291553,-74.00711384",10.77,1531155600,123,20.87,"40.7153379,-74.01658354","40.73291553,-74.00711384",3245,10.0
157,"40.7153379,-74.01658354|40.739323,-74.008119",12.96,1531155600,110,24.7,"40.7153379,-74.01658354","40.739323,-74.008119",4137,12.0
158,"40.7153379,-74.01658354|40.74334935,-74.00681753",13.38,1531132200,112,23.42,"40.7153379,-74.01658354","40.74334935,-74.00681753",4491,10.0
159,"40.71534825,-73.96024116|40.71167351,-73.95141312",5.38,1531152000,109,13.45,"40.71534825,-73.96024116","40.71167351,-73.95141312",1087,8.0
160,"40.71534825,-73.96024116|40.71285887,-73.96590294",4.06,1531148400,182,9.33,"40.71534825,-73.96024116","40.71285887,-73.96590294",723,5.0
161,"40.71534825,-73.96024116|40.715143,-73.944507",7.49,1531146600,106,9.95,"40.71534825,-73.96024116","40.715143,-73.944507",1749,2.0
162,"40.71534825,-73.96024116|40.72311651,-73.95212324",4.97,1531148400,103,13.32,"40.71534825,-73.96024116","40.72311651,-73.95212324",1102,8.0
163,"40.71581550000001,-73.99422366|40.71427487,-73.98990025",2.43,1531152000,133,5.55,"40.71581550000001,-73.99422366","40.71427487,-73.98990025",423,3.0
164,"40.71625008,-74.0091059|40.711512,-74.01575600000002",6.59,1531144800,102,12.32,"40.71625008,-74.0091059","40.711512,-74.01575600000002",1681,6.0
165,"40.71625008,-74.0091059|40.7153379,-74.01658354",4.75,1531155600,111,7.62,"40.71625008,-74.0091059","40.7153379,-74.01658354",1469,3.0
166,"40.71625008,-74.0091059|40.72019521437465,-74.0103006362915",2.67,1531144800,129,6.42,"40.71625008,-74.0091059","40.72019521437465,-74.0103006362915",531,4.0
167,"40.716887,-73.96319799999998|40.71745169,-73.95850939",2.45,1531130400,337,7.0,"40.716887,-73.96319799999998","40.71745169,-73.95850939",566,5.0
168,"40.7172274,-73.98802084|40.714215,-73.981346",3.77,1531152000,205,9.5,"40.7172274,-73.98802084","40.714215,-73.981346",749,6.0
169,"40.71745169,-73.95850939|40.71044554,-73.96525063",6.68,1531155600,126,13.67,"40.71745169,-73.95850939","40.71044554,-73.96525063",1053,7.0
170,"40.71745169,-73.95850939|40.71260486,-73.96264403",5.53,1531153800,104,8.87,"40.71745169,-73.95850939","40.71260486,-73.96264403",677,3.0
171,"40.71745169,-73.95850939|40.71285887,-73.96590294",4.88,1531155600,458,12.83,"40.71745169,-73.95850939","40.71285887,-73.96590294",1001,8.0
172,"40.71745169,-73.95850939|40.716887,-73.96319799999998",2.62,1531152000,313,6.93,"40.71745169,-73.95850939","40.716887,-73.96319799999998",566,4.0
173,"40.71745169,-73.95850939|40.72311651,-73.95212324",3.9,1531152000,189,10.3,"40.71745169,-73.95850939","40.72311651,-73.95212324",856,6.0
174,"40.71745169,-73.95850939|40.72906,-73.95779",6.93,1531141200,140,10.32,"40.71745169,-73.95850939","40.72906,-73.95779",1650,3.0
175,"40.71754834,-74.01322069|40.70569254,-74.01677685",7.27,1531148400,201,13.0,"40.71754834,-74.01322069","40.70569254,-74.01677685",2066,6.0
176,"40.71754834,-74.01322069|40.70834698,-74.01713445",6.4,1531155600,174,9.9,"40.71754834,-74.01322069","40.70834698,-74.01713445",1577,4.0
177,"40.71754834,-74.01322069|40.711512,-74.01575600000002",5.15,1531155600,139,10.65,"40.71754834,-74.01322069","40.711512,-74.01575600000002",853,6.0
178,"40.71754834,-74.01322069|40.71273266,-74.0046073",5.55,1531130400,202,13.38,"40.71754834,-74.01322069","40.71273266,-74.0046073",1022,8.0
179,"40.71754834,-74.01322069|40.7153379,-74.01658354",2.83,1531155600,117,6.6,"40.71754834,-74.01322069","40.7153379,-74.01658354",521,4.0
180,"40.71754834,-74.01322069|40.72243797,-74.00566443",6.83,1531126800,104,9.78,"40.71754834,-74.01322069","40.72243797,-74.00566443",1412,3.0
181,"40.71754834,-74.01322069|40.72405549,-74.00965965",4.93,1531155600,151,12.9,"40.71754834,-74.01322069","40.72405549,-74.00965965",993,8.0
182,"40.71754834,-74.01322069|40.7277140777778,-74.01129573583603",5.15,1531155600,329,14.85,"40.71754834,-74.01322069","40.7277140777778,-74.01129573583603",1223,10.0
183,"40.71754834,-74.01322069|40.728846,-74.00859100000002",7.32,1531155600,246,14.38,"40.71754834,-74.01322069","40.728846,-74.00859100000002",2257,7.0
184,"40.71754834,-74.01322069|40.73038599,-74.00214988",10.02,1531155600,130,15.4,"40.71754834,-74.01322069","40.73038599,-74.00214988",2342,5.0
185,"40.71754834,-74.01322069|40.73172428,-74.00674436",8.8,1531155600,177,17.38,"40.71754834,-74.01322069","40.73172428,-74.00674436",2982,9.0
186,"40.71754834,-74.01322069|40.73291553,-74.00711384",9.19,1531155600,272,16.83,"40.71754834,-74.01322069","40.73291553,-74.00711384",2952,8.0
187,"40.71754834,-74.01322069|40.739323,-74.008119",10.83,1531152000,257,20.67,"40.71754834,-74.01322069","40.739323,-74.008119",3844,10.0
188,"40.71754834,-74.01322069|40.742753828659026,-74.00747358798982",13.3,1531155600,137,22.2,"40.71754834,-74.01322069","40.742753828659026,-74.00747358798982",4417,9.0
189,"40.71754834,-74.01322069|40.74334935,-74.00681753",12.48,1531155600,193,21.65,"40.71754834,-74.01322069","40.74334935,-74.00681753",4388,9.0
190,"40.71754834,-74.01322069|40.74691959,-74.00451887",15.8,1531155600,178,26.18,"40.71754834,-74.01322069","40.74691959,-74.00451887",4772,10.0
191,"40.71754834,-74.01322069|40.751396,-74.00522600000002",16.48,1531144800,157,31.6,"40.71754834,-74.01322069","40.751396,-74.00522600000002",5512,15.0
192,"40.71754834,-74.01322069|40.75594159,-74.0021163",19.92,1531159200,108,22.52,"40.71754834,-74.01322069","40.75594159,-74.0021163",7016,3.0
193,"40.71754834,-74.01322069|40.76087502,-74.00277668",18.77,1531155600,215,34.35,"40.71754834,-74.01322069","40.76087502,-74.00277668",6825,16.0
194,"40.71774592,-73.95600096|40.72146256229816,-73.94800901412964",5.35,1531155600,111,11.65,"40.71774592,-73.95600096","40.72146256229816,-73.94800901412964",937,6.0
195,"40.71774592,-73.95600096|40.72311651,-73.95212324",3.58,1531159200,206,9.63,"40.71774592,-73.95600096","40.72311651,-73.95212324",793,6.0
